,Name,arable,forest,managed_grassland,semi_natural,urban,NA,crop_div,crop_rich,mass_fl_area,mass_fl_pa,EUNIS_div_agg,EUNIS_rich_agg,EUNIS_div,EUNIS_rich
53,SIP13,0,0.466633233107094,0,0.531512659780921,0.00180284975984154,5.12573521439669e-05,0,0,0,0,0.703501787197911,4,1.17662577784451,7
54,SIP14,0,0.853895734349162,0.0216898138618351,0.124414451789003,0,0,0,0,0,0,0.477258106268304,3,0.518226241207716,4
55,SIP15,0.659662597252612,0.171320685293048,0.00487777017015813,0.164138947284182,0,0,0.69266970468539,2,0,0,0.899255036434997,4,0.996897160508409,6
56,SIP16,0,0.966368309452277,0.025899628370401,0.00773206217732243,0,0,0,0,0,0,0.165280901042221,3,0.165280901042221,3
57,SIP2,0,0.0649633804155215,0,0.934839856315588,0,0.000196763268890016,0,0,0,0,0.242274064104577,3,0.584178219312768,5
58,SIP3,0.0905400121971163,0.0781022770989747,0,0.831357710703909,0,0,0.693147180559945,2,11229.1559563833,1,0.570161699515943,3,0.799428442881856,7
59,SIP5,0.329532247972041,0.413519446270231,0.0655460034978608,0.046183236086814,0,0.145219066173053,0.693147180559945,2,0,0,1.33180097342611,5,1.36099748736535,6
60,SIP6,0.733744171518499,0,0,0.266255828481501,0,0,0.691709027042025,2,9612.50768337306,1,0.579499135434004,2,0.739744049275373,5
61,SIP7,0.723928820360077,0,0,0.276071179639923,0,0,0.691677059037436,2,8984.44135042652,1,0.589204304250543,2,0.655766421938501,3
62,SIP8,0.0406453429378954,0.0210066379752904,0,0.938348019086814,0,0,0.693147180559945,2,0,0,0.271039876407034,3,0.588777883181786,6
63,SIP9,0.0521081610639733,0.575312859718819,0.0875611091263858,0.285017870090822,0,0,0.693147180559945,2,0,0,1.04301013637387,4,1.50007183558051,7
64,SST1,0.901952364498501,0,0.0488721489678254,0.0403420110931446,0.00872512893803973,0.000108346502489167,1.06904103629388,3,0,0,0.412470889130193,5,0.441770155611963,7
65,SST10,0.975281988802928,0,0,0.0247180111970719,0,0,1.37480992819296,4,0,0,0.115872128632971,2,0.115872128632971,2
66,SST11,0.98752487043217,0,0,0.0124751295678303,0,0,1.22367789643356,4,0,0,0.0670881852351216,2,0.077638391262685,5
67,SST12,0.984632378728936,0,0.00182897874346005,0.0135386425276038,0,0,1.04745577939669,3,102540.30643273,1,0.0850248536415713,3,0.0927222516697413,4
68,SST13,0.98662850011728,0,0,0.0133714998827204,0,0,1.35110410816644,4,0,0,0.0709747709092879,2,0.0788963499617239,3
69,SST14,0.988064571521928,0,0,0.0119354284780724,0,0,0.816953329243135,3,120766.330201684,1,0.0647169071366305,2,0.0715161053575377,3
70,SST15,0.974587790738392,0,0,0.025412209261608,0,0,1.33173917899724,4,107695.639030557,1,0.118413536225258,2,0.136006277134027,3
71,SST16,0.980931384658657,0,0,0.0190686153413432,0,0,0.927744936442934,3,0,0,0.0943918574621588,2,0.107212695881136,3
72,SST2,0.918058397421944,0,0,0.0797081242328278,0,0.00223347834522855,0.64795827279183,3,0,0,0.293734761426677,3,0.34634968416209,4
73,SST3,0.914837355543444,0,0,0.0846442442228167,0,0.000518400233739385,1.22606493256031,4,14131.4178263601,1,0.294362194692603,3,0.372209499502681,5
74,SST4,0.951089917994452,0,0.00177885230560075,0.047131229699947,0,0,1.20902829662537,4,105890.939395746,1,0.202934702927399,3,0.203620915025508,4
75,SST5 (neu ab 2017),0.947423856803696,0,0,0.0525761431963041,0,0,1.27223220793544,4,0,0,0.206031789877164,2,0.240844289383042,3
76,SST6,0.967550092157238,0,0,0.0324499078427618,0,0,0.899671766138627,3,0,0,0.143157776064043,2,0.163592137228692,3
77,SST7,0.782300301090057,0.181995033156485,0,0.0357046657534575,0,0,1.09861228866811,3,0,0,0.621131321687274,3,0.638993876330053,4
78,SST8,0.966419348204253,0,0.00183077378583918,0.0317498780099075,0,0,1.35362830413392,4,106235.964322569,1,0.154082637018286,3,0.183933088056142,5
79,SST9,0.946673421667189,0,0.0106946924690433,0.0426318858637675,0,0,0.80158149726879,4,1273.64966315217,1,0.234921456967771,3,0.264105542959467,4
80,WAN1,0.593746018797062,0,0.0270962140828268,0.379157767120111,0,0,1.14405541718748,5,0,0,0.775003181192078,3,0.841784461400892,5
81,WAN10,0.965668179404187,0,0,0.0343318205958131,0,0,0.667711011405047,2,0,0,0.149491624619592,2,0.186993730943062,4
82,WAN11,0.505461081374368,0,0.0194245890165124,0.0221230708059612,0.452991258803159,0,1.16487128100604,4,0,0,0.864454440241175,4,0.864454440241175,4
83,WAN12,0.934520316833193,0,0.0263650358867515,0.0244733508988987,0,0.0146412963811562,1.74323741864912,6,68010.2730755266,1,0.311787110020275,4,0.31798138399543,5
84,WAN13,0.916089084767173,0,0.0282019567297871,0.0557089585030403,0,0,1.14729786124982,6,0,0,0.341788403133262,3,0.391584952571522,5
85,WAN14,0.957003367638497,0,0,0.0429966323615033,0,0,1.11762356661354,6,0,0,0.177353379802804,2,0.222119805812784,4
86,WAN15,0.0201805467234799,0.406147337506289,0.156309829686427,0.131992543471523,0.285369742612282,0,0.693147180559945,2,0,0,1.35994907337667,5,1.56316592515038,10
87,WAN16,0.271642015281681,0.525987729076085,0,0.202370255642234,0,0,1.13316597660781,4,19789.9852939126,1,1.01527628567254,3,1.17201799806471,5
88,WAN2,0.828661867801268,0,0.00442856133449888,0.101003227997117,0.0659063428671157,0,1.14215925638733,5,84431.9197195778,1,0.590536596887611,4,0.645166559557547,5
89,WAN3,0.237172427920391,0,0.243963150495559,0.330792461346358,0.188071960237692,0,0.693147180559945,2,0,0,1.36565063287387,4,1.90592763079581,10
90,WAN4,0.95474653347931,0,0,0.0452534665206896,0,0,1.41378082746371,5,0,0,0.184294743246929,2,0.223887410173686,4
91,WAN5,0.119053738388012,0,0.148112109663822,0.732834151948166,0,0,1.09861228866811,3,0,0,0.76402135953721,3,1.15740410741648,7
92,WAN6,0.943747652019296,0.0269565029364081,0,0.0292958450442961,0,0,0.390704079360232,2,0,0,0.255471207915115,3,0.287657725078811,7
93,WAN7,0.0247889452097666,0.362687034236746,0,0.612524020553487,0,0,1.09861228866811,3,0,0,0.759735350833128,3,0.900077657696021,5
94,WAN8,0.975504370825831,0,0,0.0244496961988144,0,4.5932975354663e-05,1.04619906374535,3,4664.96379796229,1,0.115388108826496,3,0.130750742763678,4
95,WAN9,0.998447151170673,0,0,0.00155284882932747,0,0,1.35145663336792,4,0,0,0.0115949471310952,2,0.0124039147103872,3
